-27,165.4,-210.1
-26.4,168.5,-207.1
-26.7,171.8,-210.3
-27.1,175.2,-214.9
-27.4,178.5,-217.9
-45.5,190.8,-353.5
-13.6,72.5,-85.9
-22.5,87.6,-157.6
-23.3,90.5,-164.7
-23.5,93.5,-167.1
-23.7,96.4,-170.3
-23.3,99.5,-168
-23.6,102.5,-171.8
-23.6,105.6,-173.1
-23.9,108.6,-176.4
-23.6,111.7,-175.8
-24.1,114.8,-180.1
-23.3,117.8,-175.6
-22.6,120.9,-172.2
-21.6,123.9,-166.2
-22.5,127,-174
-22.9,130.1,-177.8
-23.5,133.3,-183.9
-24.6,136.5,-193
-26.3,139.9,-207
-26.8,143.2,-211.4
-26.8,146.4,-212.8
-26.7,149.6,-213.4
-26.5,152.7,-213.1
-26.5,155.9,-214.3
-26,159,-211.9
-25.8,162.2,-211.9
-25,165.2,-207.2
-24.9,168.4,-207.4
-25.2,171.7,-211
-25.5,175,-214.6
-25.7,178.4,-217.5
-28.9,182.9,-242.1
-10,73,-70.3
-23,82.6,-170.3
-21.4,87.4,-160.6
-21.8,90.4,-165.1
-22,93.4,-167.4
-21.6,96.4,-165.7
-21.3,99.5,-165.1
-21.8,102.5,-170.1
-22,105.5,-172.4
-22,108.6,-174.2
-21.8,111.6,-173.6
-21.9,114.7,-175.6
-21.6,117.8,-174.9
-21.4,120.8,-174.2
-21.2,123.9,-174.3
-21.5,127,-177.9
-21.6,130.1,-180.1
-22.3,133.3,-186.2
-24,138.2,-200.7
-24.6,141.4,-206.6
-24.9,144.6,-210.1
-24,147.7,-204.9
-25,151.1,-213
-24.9,154.3,-213.9
-24.5,157.4,-212.1
-24.2,160.5,-211.4
-23.1,163.4,-204.1
-23.1,166.6,-205.8
-23.6,170,-210.6
-23.7,173.3,-212.8
-23.7,176.5,-214.1
-23.2,179.5,-211.2
-31.3,187.9,-274.4
-52.2,204.4,-434.8
-27.7,76.4,-214.2
-21.3,81.1,-168.3
-19.9,84.4,-159.7
-20.1,87.3,-162
-20.3,90.3,-165
-20.1,93.3,-164.7
-19.8,96.4,-163.6
-19.4,99.5,-162.4
-19.5,102.5,-164.4
-20.2,105.4,-170.6
-20.3,108.5,-172.7
-20.3,111.5,-174.2
-20.2,114.6,-174.6
-20,117.7,-174.6
-20.1,120.7,-176.6
-20.1,123.8,-177.8
-20.2,126.9,-179.9
-20.2,130,-181.2
-20.1,133.1,-181.8
-19.8,136.2,-180.2
-20.2,139.3,-184.6
-20.4,142.5,-187.8
-20.6,145.6,-190
-20.9,148.9,-194.2
-22.4,152.3,-206.2
-22.9,155.7,-211.5
-22.6,158.8,-210.4
-21.4,161.7,-202.7
-21.2,164.8,-202.6
-22.1,168.3,-210.7
-21.8,171.4,-209.3
-22.5,174.9,-216.3
-22.7,178.3,-219.3
-26.4,184.7,-249.1
-34.8,191.7,-314.2
-8.7,75.2,-82.6
-19.8,79.5,-167.8
-19,82.7,-163.2
-18.5,85.8,-161
-18.5,88.8,-162.3
-18.4,91.8,-163.3
-17.8,94.9,-160.1
-17.8,97.9,-161
-17.9,100.9,-162.8
-18,103.9,-164.9
-18.8,106.9,-172.8
-18.9,109.9,-174.2
-18.7,113,-174.6
-18.6,116.1,-174.6
-18.5,119.1,-175.5
-18.5,122.2,-176.6
-18.6,125.3,-178.5
-18.5,128.4,-179.6
-18.3,131.4,-179.2
-18.1,134.5,-178.9
-19,137.7,-186.8
-19.6,140.9,-192.6
-19.5,144.1,-193.5
-18.5,147,-187.1
-17.7,150,-182
-20.1,153.7,-202
-20.6,157,-206.8
-19.4,159.9,-199
-19.4,163.1,-200.5
-20.5,166.6,-209.6
-20.3,169.8,-210
-21,173.2,-215.9
-21,176.5,-217.3
-20.2,179.4,-213
-27.9,187.6,-273.9
-17.7,186.4,-196.8
-11.2,186.5,-147.4
-35.3,53.5,-286.2
-10.2,77.1,-106.2
-16.5,79.8,-155.2
-17.1,82.6,-160.9
-16.9,85.7,-160.6
-16.8,88.7,-161
-16.3,91.8,-159
-16.1,94.8,-158.2
-15.8,97.9,-157.9
-16,100.8,-160
-16.9,103.8,-168.4
-17,106.8,-170.2
-17.1,109.8,-172.4
-17.2,112.9,-174.5
-17.1,116,-175.2
-17,119,-175.5
-16.8,122.1,-175.2
-16.8,125.2,-177
-16.8,128.3,-178.3
-16.6,131.3,-177.9
-16.5,134.4,-178.4
-16.9,137.6,-183
-18,140.9,-192.5
-18.4,144.1,-196.5
-18.2,147.2,-196.3
-17.2,151.7,-190.6
-17.4,154.9,-193.5
-17.6,158.1,-196.6
-17.8,161.4,-199.1
-18.2,164.7,-204.2
-18.8,168.1,-210.1
-18.9,171.3,-211.9
-19.2,174.7,-215.8
-19,177.9,-215.2
-19.8,181.4,-222.6
-17,183.5,-202.3
-13.9,185.3,-179.2
-38.1,51.7,-320.5
-27.1,59.1,-238.8
-20.3,64.6,-189.2
-20.2,67.7,-189.9
-11.1,74.9,-123.2
-14.8,78.3,-152.9
-15.5,81.1,-159.4
-15.5,84.1,-161.1
-14.9,87.2,-158
-14.8,90.2,-158.4
-14.4,93.3,-156.3
-14,96.3,-155.1
-14.1,99.3,-157
-15.7,103.7,-171.2
-15.4,106.7,-170.3
-15.5,109.8,-172.1
-15.6,112.8,-174.6
-15.6,115.9,-175.7
-15.5,118.9,-176.3
-15.3,122,-176
-15.1,125.1,-175.4
-15.1,128.2,-176.9
-15,131.2,-177.2
-15,134.3,-178.4
-15.4,137.5,-183
-14.9,140.5,-180.4
-14.6,143.6,-179.9
-14.4,146.7,-179.6
-16.8,150.3,-199.4
-16.6,153.4,-198.9
-15.6,156.3,-192.4
-16.1,159.7,-198
-16.6,163,-203.1
-17,166.3,-207.8
-17,169.5,-208.5
-17.2,172.8,-212
-17.7,176.3,-217
-17.8,179.5,-218.7
-11.8,180.2,-173.1
-11.1,183.1,-169
-11.4,187.9,-173.2
-0.8,187.2,-91.6
-8.5,194.3,-153.6
-19.1,64.4,-191.9
-17.8,67.9,-183.7
-13.4,73.7,-151.8
-14.6,76.4,-162
-14.2,79.5,-160.8
-14,82.5,-160.7
-13.4,85.6,-157.2
-13.1,88.7,-155.9
-12.9,91.7,-156
-12.1,94.8,-151.3
-12.1,97.8,-152.3
-14.1,102.1,-170.3
-14.1,105.1,-171
-14.1,108.2,-172.3
-14.1,111.2,-173.7
-14,114.3,-174.8
-14,117.3,-175.8
-13.9,120.4,-176.2
-13.5,123.5,-174.7
-13.3,126.5,-174.1
-13.3,129.6,-175.9
-13.2,132.7,-176.3
-13.1,135.7,-176.5
-12.8,138.8,-176
-12.7,141.9,-176.3
-12.5,144.9,-176.1
-12.1,148,-174.5
-15,153.3,-198.6
-14.4,156.4,-195.9
-14.7,159.6,-199.2
-15.3,163,-205
-15.4,166.2,-207.7
-15.3,169.4,-208.2
-15.3,172.6,-209.5
-15.9,176.1,-215
-14.1,178.6,-202.6
-10.3,180.2,-173.6
-9.3,182.9,-167
-1,183.5,-102.9
-0.8,186.4,-102.4
-5,194.6,-137.8
-14.4,62.4,-166.2
-15.7,68,-179.1
-13.2,73.3,-162.1
-13,77.8,-162.7
-12.6,80.9,-161.1
-11.8,84.1,-156.1
-11.5,87.1,-155
-11.3,90.1,-154.4
-10.4,93.3,-149
-10.4,96.2,-150.7
-12.3,99,-166.4
-13,101.9,-173
-12.5,105,-170.6
-12.6,108.1,-172.9
-12.5,111.1,-173.2
-12.4,114.2,-174.3
-12.3,117.2,-174.7
-12.1,120.3,-174.6
-11.7,123.4,-172.7
-11.6,126.4,-172.9
-11.5,129.5,-174
-11.3,132.6,-173.7
-11.1,135.6,-173.4
-10.9,138.7,-173
-10.7,141.7,-172.4
-10.5,144.8,-172.5
-10.4,147.8,-173
-10.4,150.9,-174.3
-13,156.3,-196.5
-13.3,159.6,-201
-13.6,162.8,-204.5
-13.8,166.1,-207.5
-13.1,169.1,-203.2
-12.3,172,-197.6
-12.2,175.2,-198.6
-11.1,177.9,-191.2
-8.8,180.1,-174.2
-8.1,182.9,-169.1
-4.7,185.9,-143.7
-3.5,188.4,-135.4
-9.9,35.9,-130.7
-9.6,60.7,-139.6
-13.3,62.2,-170.1
-13.6,68.1,-175.1
-11.7,71.7,-161.7
-11.3,77.8,-161
-10.9,80.9,-159.2
-10.1,84,-154.8
-9.8,87.1,-153.9
-9.2,90.2,-150.3
-8.6,93.2,-147.1
-10.1,96,-159.7
-11.3,98.8,-170.7
-11.2,101.9,-171.6
-11,104.9,-171.3
-11.1,108,-173.5
-10.9,111,-173.2
-10.9,114.1,-174.4
-10.5,117.2,-172.8
-10.4,120.2,-172.9
-10.1,123.3,-172.4
-9.7,126.3,-170.4
-9.6,129.4,-171.1
-9.4,132.4,-170.7
-9.3,135.5,-170.8
-8.8,138.5,-168.2
-8.4,141.5,-166.3
-8.1,144.5,-165.6
-7.9,147.6,-165.4
-7.8,150.6,-165.7
-7.9,153.7,-168.2
-11.2,159.3,-196.5
-11.8,162.7,-202.5
-11.6,165.8,-202.4
-10.9,168.8,-198.2
-10.2,171.7,-194.1
-10.2,174.9,-194.9
-8.9,177.5,-185.8
-7.5,180.1,-176.1
-5.5,182.3,-160.8
-4.5,184.9,-153.9
-3.8,187.7,-149.3
-3.5,190.7,-148.9
-5.4,194.8,-165
-5.5,199.6,-168
-9.5,54.1,-147.9
-12.5,58.8,-174.6
-14.1,61.2,-188
-12.7,64.7,-178.9
-12,69.5,-175.1
-10.3,73.1,-163.5
-10.5,76,-166.4
-9.4,79.3,-159.3
-8.7,82.4,-154.8
-8.4,85.5,-153.5
-7.7,88.6,-149.5
-7.1,91.7,-146.6
-7.9,94.5,-154.2
-9.9,97.2,-171.2
-9.7,100.3,-171.2
-9.5,103.3,-170.8
-9.6,106.4,-173.1
-9.4,109.4,-173
-9.1,112.5,-171.9
-9,115.5,-172.3
-8.8,118.6,-172
-8.4,121.6,-169.8
-7.5,124.7,-164.1
-7.4,127.7,-165.2
-7.3,130.7,-165.5
-7.2,133.8,-166
-6.3,136.7,-160.2
-5.9,139.7,-157.9
-5.6,142.7,-156.9
-5.4,145.7,-157.1
-5.5,148.8,-158.8
-6,152,-164.3
-8.7,155.8,-187.8
-9.2,159.1,-192.8
-9.7,162.4,-198.6
-9.4,165.5,-197
-9.3,168.7,-197.7
-9.1,171.8,-197.4
-8.6,174.8,-194.8
-6.8,177.2,-181.1
-4.8,179.5,-166.1
-3.7,182.1,-158.5
-3.6,185.2,-159.2
-3.8,194.7,-164.8
-3.7,197.7,-164.8
-2.2,220.5,-162.7
-10.4,53,-167.3
-15.2,53.9,-206.6
-13.2,59.4,-192.6
-12.3,64.3,-187.6
-10.6,67.9,-175.7
-9.3,71.3,-166.6
-7.9,74.7,-156.7
-7.9,77.7,-158.6
-7.4,80.8,-156
-6.9,83.9,-153.1
-6.3,87,-150.1
-5.6,90.1,-145.9
-5.9,93,-149.2
-7.7,95.7,-165.5
-8.2,98.7,-170.9
-8,101.7,-170.7
-8.2,104.7,-173.3
-7.9,107.8,-172
-7.6,110.9,-171.5
-7.3,113.9,-170.5
-6.8,117,-167.9
-5.5,120,-158.4
-4.8,123,-154.3
-4.5,126,-153
-4.4,129,-153.5
-4.3,132,-154
-4.1,135,-153.7
-3.7,138,-151.9
-3.4,141,-151.1
-3.6,144.1,-153.9
-3.6,147.1,-155
-4.2,150.3,-161.3
-6.3,153.9,-180.2
-7.2,157.3,-188.6
-7.6,160.6,-193.7
-7.8,163.8,-196.3
-7.5,166.9,-195.5
-7.7,170.1,-198.1
-7.5,173.3,-197.9
-5.8,175.8,-185.2
-3.6,178,-168.7
-3,180.8,-164.7
-3,184,-166.5
-2.9,187.1,-166.9
-2.5,190,-165.1
-2.6,193.1,-166.4
0.9,195.9,-139.9
1.9,198.3,-132.5
17.4,219,-15.4
-8.3,35.5,-153.7
-8.4,50.2,-161.5
-13.2,52.5,-202.1
-10.7,56.6,-184.1
-12,59.2,-195.3
-10.6,62.7,-186.1
-10,66,-182.3
-7.8,69.7,-166.7
-6.8,73,-159.5
-6.2,76.2,-156.2
-5.9,79.2,-155.2
-5.4,82.3,-152.5
-4.9,85.4,-150
-4.2,88.5,-146
-3.7,91.6,-143.1
-5.7,94.2,-160.5
-6.7,97.1,-169.9
-6.4,100.1,-169.3
-6.5,103.2,-171.7
-6.3,106.2,-171.4
-6,109.3,-170.1
-5.7,112.3,-169.3
-3.7,115.4,-154.2
-2.7,118.4,-147.3
-2.3,121.4,-145.6
-2.1,124.4,-145.2
-2,127.4,-145.9
-2,130.4,-147.2
-2,133.4,-148.4
-2,136.4,-149.4
-2.1,139.4,-151.9
-2.2,142.5,-153.9
-3.1,145.7,-163
-2.5,148.6,-159.4
-2.9,151.8,-163.7
-3.3,155,-168.5
-5.6,158.8,-189.1
-6.1,162.1,-194.3
-6.3,165.3,-197.4
-6.1,168.5,-197.5
-5.6,171.5,-195
-4,174,-182.9
-2.9,176.7,-175
-2,179.4,-168.9
-2,182.5,-169.8
-2.1,185.8,-172.4
-1.6,188.6,-168.9
-1.3,191.6,-168.3
0.2,193.9,-156.5
2.8,197,-136.8
0.3,201.7,-159.6
7.4,210.6,-104.5
15.5,221.8,-43.1
-6.2,35.8,-149.1
-5.1,39.3,-142
-5.5,47.8,-149.1
-6,50.5,-155
-11.1,52.7,-197.8
-10.7,55.9,-196.1
-10.2,59.1,-194.2
-8.3,62.9,-180.2
-7.4,66.3,-174
-5.4,71.4,-159.7
-4.9,74.6,-157.7
-4.5,77.7,-155.5
-4,80.8,-152.7
-3.5,83.8,-149.9
-2.8,87,-145.5
-2.9,89.9,-148.5
-3.8,92.7,-156.5
-5.1,95.5,-169
-4.8,98.5,-168.3
-4.8,101.6,-169.3
-4.6,104.6,-169.4
-3.7,107.7,-163
-3.4,110.8,-161.9
-1.3,113.8,-146.3
-0.7,116.8,-142.1
-0.4,119.8,-141.7
-0.3,122.8,-142.1
-0.3,125.8,-143.4
-0.4,128.8,-145.9
-0.6,131.8,-148.2
-0.5,134.8,-149
-0.6,137.8,-151.1
-0.5,140.8,-151.5
-0.8,143.9,-155.4
-0.7,146.9,-155.8
-0.7,150,-157.4
-0.8,153.1,-159.8
-1,156.2,-163.2
-1.5,159.5,-168.1
-3.3,163.2,-184.6
-2.7,166.1,-181.3
-2.8,169.3,-183.8
-2.1,172.2,-178.7
-1.4,175,-174.3
-0.8,177.9,-170.6
-0.1,180.7,-166.1
0,183.8,-167
0,186.9,-167.7
-0.1,190.1,-169.9
1.6,193.9,-157.7
3.3,196,-144.9
2.4,199.6,-153.5
-1.4,206.9,-188.5
-0.9,216.2,-188.2
6,215.8,-130.8
10.7,227.2,-96.7
-4.6,35.8,-148.5
-4.1,38.9,-146
-4.7,41.5,-152.4
-9.3,46.6,-193
-8.5,50,-188.1
-9.9,52.4,-201.1
-9.5,55.7,-199.3
-7.7,59.4,-186.4
-5.7,64.8,-171.8
-4.2,68.3,-161.6
-3.8,71.4,-159.4
-3.4,74.5,-157.4
-2.8,77.6,-154.4
-2.3,80.7,-151.5
-1.7,83.8,-147.7
-1.3,86.9,-146
-1.6,89.8,-149.8
-3.1,92.5,-163.9
-3.6,95.4,-169.3
-2.9,98.5,-164.9
-3.1,101.5,-167.9
-1.9,104.6,-159.7
0.5,107.8,-140.8
0.4,110.8,-142.6
1,113.8,-139.7
1.1,116.7,-139.7
1.2,119.7,-140.2
1.3,122.7,-141.2
1.1,125.7,-144.2
0.9,128.7,-147.2
0.9,131.7,-148.5
1,134.7,-148.7
1,137.7,-150.6
1.2,140.7,-150.3
1,143.8,-153.2
1,146.8,-154.4
1.2,149.8,-154.3
1.3,152.9,-154.8
1.3,155.9,-155.9
1.3,159,-157.6
1.4,162,-157.9
1.6,165,-157.6
0.3,168.6,-170.2
0.3,171.7,-171.8
1,174.6,-167.2
1.7,177.4,-162.7
2.4,180.2,-157.9
2.3,183.3,-160.2
1.9,186.6,-164.7
2.6,189.4,-160.2
4.2,191.6,-147.7
4.6,196,-146.1
5,198.9,-144.1
4.9,205.2,-148
5.6,207.8,-143.3
6,212.2,-141.8
11,220.5,-103.3
7.9,230.9,-133.9
5.3,238,-158.7
-3.6,35.4,-152.9
-3.5,41.3,-154.5
-7.4,49.7,-192.2
-8.5,52.3,-202.4
-7.9,55.6,-199
-2.2,61,-153.6
-4.1,63.2,-171
-3,66.6,-163.4
-2.6,69.7,-161
-2.3,72.8,-160.4
-1.4,76,-154.1
-1,79.1,-152
-0.3,82.3,-148
0.1,85.3,-145.8
0,88.2,-148.5
-1.3,90.9,-160.9
-1.9,93.8,-167.4
-1.1,97,-162.1
0,100.1,-154.1
-0.1,103.1,-156.1
2,106.3,-139.9
2.3,109.2,-138.6
2.5,112.2,-138.8
2.7,115.2,-138.4
2.8,118.1,-139.2
3.1,121.1,-138
3.2,124.1,-138
3,127.1,-141.1
2.7,130.1,-145.3
2.8,133.1,-146.1
2.5,136.1,-149.7
2.5,139.2,-151.4
2.8,142.1,-149.8
2.8,145.2,-151.4
2.9,148.2,-152.4
3,151.2,-152.8
3.1,154.2,-153.3
3.1,157.3,-154.1
3.3,160.3,-154.5
3.2,163.4,-156.6
3.3,166.4,-156.7
2.8,169.7,-162.6
3.2,172.7,-160.8
3.8,175.5,-156.8
4.2,178.4,-154.5
4,181.6,-158.3
4.3,184.5,-156.6
5.1,187.2,-150.6
5.9,189.9,-145.5
6.2,192.8,-144.1
6.2,195.9,-145.8
6.5,198.8,-144.6
6,202.2,-150.4
5.3,207.4,-158.3
7.8,211.8,-138.6
9.4,216.8,-127.2
10.2,219.2,-121.6
9.3,224.6,-131.4
0.2,237.4,-214.5
18.8,225.2,-51.7
-3.5,34.4,-164.8
-2.1,39.7,-155.2
-1.5,42.9,-151.6
-6,46.5,-191.9
-6.7,52.3,-200.9
-5.8,55.7,-194.8
1.6,61.9,-134.8
-1.9,63.4,-165.3
-1.3,66.6,-162.1
-1.6,69.4,-165.8
-0.8,72.7,-160.6
0.3,76,-152.3
0.7,79.1,-150.8
1.4,82.2,-146.4
1.6,85.2,-145.8
1.5,88.1,-148.5
-0.2,90.8,-164.3
0,93.8,-164.3
1.9,97.1,-148.9
3.1,100.2,-140.7
3.4,103.2,-139.7
3.8,106.2,-137.4
3.9,109.2,-137.7
4,112.1,-138.3
4.2,115.1,-137.9
4.6,118.1,-136.5
5.1,121,-133.3
5.3,124,-132.8
5.5,126.9,-132.6
5.6,129.9,-133.3
5.1,132.9,-139.3
4.6,136,-144.4
4.8,138.9,-144.6
4.6,142,-147.9
4.7,145,-148.1
4.6,148,-150.3
4.8,151,-150.5
4.8,154.1,-151.3
4.9,157.1,-152.1
5,160.1,-152.5
5.1,163.2,-153.5
5.1,166.2,-154.5
5.3,169.2,-154.3
5.6,172.2,-152.7
5.7,175.2,-153.2
5.7,178.3,-154.5
5.4,181.6,-158.9
7,183.8,-146.5
7.5,186.6,-143.1
7.4,189.8,-145.2
7.5,192.8,-146.2
7.6,195.9,-146.9
7.6,199,-148.2
7.6,202.1,-149.5
7.7,205.1,-149.7
1.7,212.6,-204.6
7,211.9,-158.5
10.1,214.3,-133.5
10.2,218.8,-133.9
11.1,221.1,-127.2
11,224.3,-129.5
18.7,226.5,-65
17,231,-81.4
1.6,36.5,-134.8
-0.4,38.3,-152.6
-0.6,41.1,-155.9
-4.6,44.9,-192.5
-3.3,48.5,-183.4
-5.7,50.4,-204.7
0.8,57.9,-152.8
3.9,62.1,-127.6
0.2,63.5,-160.1
0,66.4,-163.7
2,70.1,-148.1
1.4,72.8,-155.1
2.2,76,-149.7
2.5,79.1,-148.4
2.9,82.1,-146.3
3.3,85.2,-144.8
2.5,88,-152.9
1.5,90.7,-162.4
2.8,94,-153.3
4.4,97.2,-140.4
5,100.2,-137.1
5.2,103.2,-136.5
5.3,106.1,-137.1
5.5,109.1,-136.8
5.7,112.1,-136.8
6.1,115,-134.6
6.5,118,-132.9
6.8,120.9,-131.3
